TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,POD_ID,NODE_ID,NODE_RTR_ID,RT_NTWK_PFX,RT_NTWK_CIDR,NEXT_HOP_IP,ADMIN_DIST,AGGREGATE,RT_CTRL
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.0.4.48,28,30.0.4.14,1,no,unspecified
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.0.4.96,28,30.0.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.1.0.48,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.1.0.64,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.1.0.80,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.1.0.96,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.2.0.48,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.2.0.64,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.2.0.80,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.0.2.1,30.2.0.96,28,30.1.4.14,1,no,unspecified
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.2.3,0.0.0.0,0,30.0.4.62,1,no,unspecified
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.2.4,0.0.0.0,0,30.0.4.110,1,no,unspecified
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.0.2.6,0.0.0.0,0,30.1.0.62,1,no,unspecified
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.0.2.7,0.0.0.0,0,30.1.0.78,1,no,unspecified
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.0.2.8,0.0.0.0,0,30.1.0.94,1,no,unspecified
BU1,MISC,MISC_VRF,PAN,1,1101,30.0.2.9,0.0.0.0,0,30.1.0.110,1,no,unspecified
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.0.2.11,0.0.0.0,0,30.2.0.62,1,no,unspecified
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.0.2.12,0.0.0.0,0,30.2.0.78,1,no,unspecified
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.0.2.13,0.0.0.0,0,30.2.0.94,1,no,unspecified
BU2,MISC,MISC_VRF,PAN,1,1101,30.0.2.14,0.0.0.0,0,30.2.0.110,1,no,unspecified
SS,SS,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.0.4.48,28,30.0.4.14,1,no,unspecified
SS,SS,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.0.4.96,28,30.0.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.1.0.48,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.1.0.64,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.1.0.80,28,30.1.4.14,1,no,unspecified
SS,BU1,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.1.0.96,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.2.0.48,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.2.0.64,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.2.0.80,28,30.1.4.14,1,no,unspecified
SS,BU2,DEFAULT_VRF,PAN,1,1102,30.0.2.15,30.2.0.96,28,30.1.4.14,1,no,unspecified
SS,MGMT,MGMT_VRF,PAN,1,1102,30.0.2.17,0.0.0.0,0,30.0.4.62,1,no,unspecified
SS,STORAGE,STORAGE_VRF,PAN,1,1102,30.0.2.18,0.0.0.0,0,30.0.4.110,1,no,unspecified
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1102,30.0.2.20,0.0.0.0,0,30.1.0.62,1,no,unspecified
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1102,30.0.2.21,0.0.0.0,0,30.1.0.78,1,no,unspecified
BU1,BACKEND,BACKEND_VRF,PAN,1,1102,30.0.2.22,0.0.0.0,0,30.1.0.94,1,no,unspecified
BU1,MISC,MISC_VRF,PAN,1,1102,30.0.2.23,0.0.0.0,0,30.1.0.110,1,no,unspecified
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1102,30.0.2.25,0.0.0.0,0,30.2.0.62,1,no,unspecified
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1102,30.0.2.26,0.0.0.0,0,30.2.0.78,1,no,unspecified
BU2,BACKEND,BACKEND_VRF,PAN,1,1102,30.0.2.27,0.0.0.0,0,30.2.0.94,1,no,unspecified
BU2,MISC,MISC_VRF,PAN,1,1102,30.0.2.28,0.0.0.0,0,30.2.0.110,1,no,unspecified
